Natural Science,Engineering,SHHA,NS-Applied Math,NS-Chemistry,NS-Life and Env,NS-Biology,NS-Physics,Eng-Bioengineering,Eng- Civil ,Eng-CSE,Eng-Electrical ,Eng-Env,Eng- MSE,Eng- ME,SSHA-Anthropology ,SSHA - Cognitive Science ,SSHA - Race and Ethnics,,,,
1. Applied Mathmatics,1. Bioengineering,1. Anthropology,1.Algorithms and modeling,1. Biochemistry and Molecular Biophysics',1. Mathmatical Simulations of Energy and Environmental Systems,1. Biochemistry and Molecular Biology',"1. Atomic, Molecular and Optical Physics'",1. Optics,1. Ecosystems ,1. Big Data Systems and Analyst,1. Renewable Energy ,1. Ecosystems ,1. Biolubrication ,1. Stochastic methods,1. Anthropology ,1. Language ,1. African studies ,,,,
2. Chemistry and Biochemistry,2. Civil Engineering,2. Cognitive Science,2. Fluid dynamics,2. Organic and Organometallic Chemistry,2. Solar and Energy Sciences,2. Biology Education,2. Astrophysics and Astronomy,2. Spectroscopy,2. Water Interactions / Bodies of water,2. Computer Networks,2. Solar Research ,2. Water Interactions / Bodies of water,2. Mechanobiology ,2. Fluid mechanics ,2. Violence,2. Memory ,2. American studies ,,,,
3. Life and Environmental Sciences,3. Computer Science and Engineering,3. Critical Race and Ethnic Studies,3. Computational modeling of nonlinear elastic systems,3. Physical Chemistry,3. Ecology and Evolutionary Biology ,3. Immunology and Infectious Disease,3. Biological and Soft Matter Physics,3. Electrophysiological,3. Hydrology,3. Internet of things ,3. PV systems,3. Hydrology,3. Bio adhesion ,3. Plasma physics ,3. Complex societies,3. Human development ,3. Asian American ,,,,
4. Molecular and Cell Biology,4. Electrical Engeering,,4. Mathmatical biology,4. Materials Chemistry,4. Earth and Atomospheric Sciences ,4. Neuroscience and Neurobiology,4. Nanoscience and Condensed Matter Physics,4. Cells ,4. Treatment Systems ,4. Robotics,4. Biomedical imaging ,4. Treatment Systems ,4. Materials for biomedicine ,4. Nanomechanics,4. Identity,4. Religion ,4. Race and Ethics,,,,
5. Physics ,5. Envionmental Engineering,,5. Partial differential equations,5. Theoretical Chemistry,Visit https://les.ucmerced.edu/people for more information ,5. Physiology,5. Solar and Energy Sciences,5. miRNAs ,5. Stakeholder engagement ,5. Human-Computer Interaction ,5. Tomography,5. Stakeholder engagement ,5. Materials for sustainability ,5. Tribology ,5. Archeology,5. Neuroscience,Visit https://ssha.ucmerced.edu/faculty?combine=&field_people_discipline_tid=131 for more information,,,,
,6. Materials Science and Engineering,,6. Imaging and optics,Visit https://chemistry.ucmerced.edu/faculty?field_people_emphasis_area_tid=All for more information ,,Visit https://mcb.ucmerced.edu/people for more information ,6. Astrophysics and Astronomy,6.infectio/diseases,6. k-12 environmental education ,6. Design and analysis of algorithms,6. Control Theory,6. k-12 environmental education ,6. Mateirals and Interfaces for tailored functionalities,6. Microscopy ,6. Religion,Visit https://ssha.ucmerced.edu/faculty?combine=&field_people_discipline_tid=2 for more information,,,,,
,7. Mechanical Engineering,,7. Wireless communications,,,,"7. Centers, Institutes, and Resources",7. Infection / diseases ,7. Forest management ,Visit https://engineering.ucmerced.edu/faculty/by-department?field_people_departments_taxonom_tid=1351 for more information,7. Computational tools / systems,7. Forest management ,7. Polymers ,7. Surface science ,7. Social Change ,,,,,,
,,,8. Molecular dynamics,,,,Visit https://physics.ucmerced.edu/people for more information ,8. Mechanobiology ,8. Renewable Energy ,,8. AI,8. Renewable Energy ,8. Metamaterials ,8. Control systems ,8. Gender / Sexuality,,,,,,
,,,9. Toplogy ,,,,,9. Structural Biology ,9. Bio fuels ,,9. Cybersecurity,9. Bio fuels ,9. Bioelectronics ,9. Unmanned aircraft systems ,9. Religion ,,,,,,
