League,Category,Team,Points
LaLiga,LaLiga Standings,Real Madrid, 28
LaLiga,LaLiga Standings,Girona, 28
LaLiga,LaLiga Standings,Atlético Madrid, 25
LaLiga,LaLiga Standings,Barcelona, 24
LaLiga,LaLiga Standings,Real Sociedad, 19
LaLiga,LaLiga Standings,Athletic Club, 18
LaLiga,LaLiga Standings,Real Betis, 17
LaLiga,LaLiga Standings,Rayo Vallecano, 17
LaLiga,LaLiga Standings,Valencia, 15
LaLiga,LaLiga Standings,Las Palmas, 14
LaLiga,LaLiga Standings,Osasuna, 13
LaLiga,LaLiga Standings,Vilarreal, 12
LaLiga,LaLiga Standings,Getafe, 12
LaLiga,LaLiga Standings,Sevilla, 10
LaLiga,LaLiga Standings,Cádiz, 10
LaLiga,LaLiga Standings,Mallorca, 9
LaLiga,LaLiga Standings,Alavés, 9
LaLiga,LaLiga Standings,Celta Vigo, 6
LaLiga,LaLiga Standings,Granada, 6
LaLiga,LaLiga Standings,Almería, 3
