Video Game	Number of Players	Console	Genre
Among_Us	3/Multi-Player	Android		Strategy
Among_Us	3/Multi-Player	iOS		Strategy
Among_Us	3/Multi-Player	PC		Strategy
Among_Us	3/Multi-Player	Nintendo_Switch	Strategy
Apex_Legends	1/2	Xbox_One	Shooter
Apex_Legends	1/2	Playstation_4	Shooter
Apex_Legends	1/2	PC		Shooter
Apex_Legends	1/2	Nintendo_Switch	Shooter
Brawlhalla	1/2/3/Multi-Player	Nintendo_Switch	Action
Brawlhalla	1/2/3/Multi-Player	Xbox_One	Action
Brawlhalla	1/2/3/Multi-Player	Playstation_4	Action
Brawlhalla	1/2/3/Multi-Player	PC	Fighting	
Call _of_Duty:_Modern_Warfare_2	0/1/2/3/Multi-Player	Playstation_4	Shooter
Call_of_Duty:_Modern_Warfare_2	0/1/2/3/Multi-Player	Playstation_5	Shooter
Call_of_Duty:_Modern_Warfare_2	0/1/2/3/Multi-Player	Xbox_One	Shooter
Call_of_Duty:_Modern_Warfare_2	0/1/2/3/Multi-Player	PC	Shooter
Fortnite		0/1/2/3/Multi-Player	Playstation_4	Shooter
Fortnite		0/1/2/3/Multi-Player	Xbox_One	Shooter
Fortnite		0/1/2/3/Multi-Player	PC	Shooter
Genshin_Impact	0/1/2/3 	PC	Role-Play_Game
Genshin_Impact	0/1/2/3	Playstation_4	Role-Play_Game
Genshin_Impact	0/1/2/3	Playstation_5	Role-Play_Game
Genshin_Impact	0/1/2/3	Android		Role-Play_Game
Genshin_Impact	0/1/2/3	iOS		Role-Play_Game
Minecraft	0/1/2/3/Multi-Player	Xbox_One	Adventure
Minecraft	0/1/2/3/Multi-Player	Playstation_4		Adventure
Minecraft	0/1/2/3/Multi-Player	Nintendo_Switch	Adventure
Minecraft	0/1/2/3/Multi-Player	PC		Adventure
Minecraft	0/1/2/3/Multi-Player	iOS		Adventure
Minecraft	0/1/2/3/Multi-Player	Android		Adventure
No_Man’s_Sky	0/1/2/3/Multi-Player	Playstation_4		Survival
No_Man’s_Sky	0/1/2/3/Multi-Player	Xbox_One		Survival
No_Man’s_Sky	0/1/2/3/Multi-Player	PC		Survival
Overwatch_2	Multi-Player	Playstation_4		Shooter
Overwatch_2	Multi-Player	Playstation_5		Shooter
Overwatch_2	Multi-Player	Nintendo_Switch	Shooter
Overwatch_2	Multi-Player	Xbox_One		Shooter
Quake		0/1/2/3	PC		Shooter
Quake		0/1/2/3	Playstation_4		Shooter
Quake		0/1/2/3	Playstation_5		Shooter
Quake		0/1/2/3	Xbox_One		Shooter
Quake		0/1/2/3	Nintendo_Switch	Shooter
Splatoon	0/1/2/3/Multi-Player	Nintendo_Switch	Shooter
SMITE		0/1/2/3/Multi-Player	Xbox_One	Action
SMITE		0/1/2/3/Multi-Player	Nintendo_Switch	Action
SMITE		0/1/2/3/Multi-Player	PC	Action
SMITE		0/1/2/3/Multi-Player	Playstation_4	Action
Astroneer	0/1/2/3		Xbox_One	Survival
Astroneer	0/1/2/3	PC	Survival
Blobcat		0/1/2/3		Nintendo_Switch	Strategy
Blobcat		0/1/2/3	PC	Strategy
Boundless	0/1/2/3/Multi-Player	PC	Strategy
Boundless	0/1/2/3/Multi-Player	Playstation_4	Strategy
Final_Fantasy_XV		0/1/2/3		PC	Role-Play_Game
Final_Fantasy_XV		0/1/2/3		Xbox_One	Role-Play_Game
Halo_Infinite	0/1/2/3/Multi-Player	Xbox_One	Shooter
Halo_Infinite	0/1/2/3/Multi-Player	PC	Shooter
Mushroom_Wars_2	0/1/2/3		Nintendo_Switch	Strategy
Mushroom_Wars_2	0/1/2/3		PC	Strategy
Mushroom_Wars_2	0/1/2/3		iOS	Strategy
Mushroom_Wars_2	0/1/2/3		Android		Strategy
Neverwinter		0	PC	Role-Play_Game
Neverwinter		0	Nintendo_Switch	Role-Play_Game
Neverwinter		0	Xbox_One	Role-Play_Game
Onigiri		0	PC	Role-Play_Game
Onigiri		0	Nintendo_Switch	Role-Play_Game
Powerwash_Simulator	0/1/2/3/Multiplayer	PC	Strategy
Powerwash_Simulator	0/1/2/3/Multiplayer	Playstation_4	Strategy
Powerwash_Simulator	0/1/2/3/Multiplayer	Playstation_5	Strategy
Powerwash_Simulator	0/1/2/3/Multiplayer	Xbox_One	Strategy
Powerwash_Simulator	0/1/2/3/Multiplayer	Nintendo_Switch	Strategy
Pure_Chess	0	Playstation_4	Strategy
Pure_Chess	0	PC	Strategy
Roblox		0/1/2/3/Multiplayer	Xbox_One	Strategy
Roblox		0/1/2/3/Multiplayer	PC	Strategy
Roblox		0/1/2/3/Multiplayer	iOS	Strategy
Roblox		0/1/2/3/Multiplayer	Android	Strategy
Trailblazers	0	Playstation_4	Action
Trailblazers	0	PC	Action
Trailblazers	0	Xbox_One	Action
Trailblazers	0	Nintendo_Switch	Action
Valheim		0/1/2/3/Multiplayer	Xbox_One	Survival
Valheim		0/1/2/3/Multiplayer	PC	Survival
Wargroove	0/1/2/3	Nintendo Switch	Strategy
Wargroove	0/1/2/3		Playstation_4	Strategy
Wargroove	0/1/2/3		Xbox One	Strategy
Wargroove	0/1/2/3	PC	Strategy
Gears_5		0/1/2/3		Xbox_One	Shooter
Halo_Wars_2	0/1/2/3		Xbox_One	Strategy
Sea_of_Thieves	0/1/2/3		Xbox_One	Role-Play_Game
State_of_Decay 2	0/1/2/3		Xbox_One	Survival
Killer_Instinct	0	Xbox_One	Action
Forza_Horizon_3	0/1/2/3/Multi-Player	Xbox_One	Adventure
Legend_of_Zelda:_Breath_of_the_Wild	0	Nintendo_Switch	Adventure
Checkers	0/1	Nintendo_Switch	Strategy
Children_of_Morta	0/1	Nintendo_Switch	Action
Dead_by_Daylight	0/1/2/3/Multi-Player	Nintendo_Switch	Survival
Doom	0/1/2/3/Multi-Player	Nintendo_Switch	Shooter
Taiko_No_Tatsujin	0/1	Nintendo_Switch	Strategy
Aggelos		0/1/2/3/Multi-Player	Playstation_4	Action
A_Hat_in_Time	0/1/2/3/Multi-Player 	Playstation_4	Adventure
Anarcute	0	Playstation_4	Action
Antiquia	0	Playstation_4	Role-Play_Game
Dream		0/1/2/3/Multi-Player	Nintendo_Switch	Adventure
Ashen		0/1/2/3	Playstation_4	Role-Play_Game
Aragami_2	0/1/2/3	Playstation_5	Action/Adventure
Chorus		0	Playstation_5	Action
Control		0/1/2/3		Playstation_5	Action/Adventure
Destiny_2	0/1/2	Playstation_5	Shooter
For_Honor	0/1/2/3/Multi-Player	Playstation_5	Action
Godfall		0/1/2/3	Playstation_5	Action/Role-Play_Game
GTA_5		0/1/2/3/Multi-Player	Playstation_5	Adventure
Outriders	0/1/2/3		Playstation_5	Action/Role-Play_Game
Pragmata	0	Playstation_5	Action/Adventure
Rainbow_Six_Siege	0/1/2/3/Multi-Player	Playstation_5	Shoote	r
Vigor	0/1/2/3		Playstation_5	Survival
Warframe	0/1/2/3		Playstation_5	Action
The_Witcher_3	0	Playstation_5	Action/Role-Play Game
Dota_2		0/1/2/3/Multi-Player	PC	Action
Prey		0	PC	Action/Adventure/Shooter/Role-Play_Game
Control		0/1/2/3	PC	Action/Adventure
Stardew_Valley	0/1/2/3/Multi-Player	PC	Role-Play_Game
GTA_5	0/1/2/3/Multi-Player	PC	Adventure
Slay_the_Spire	0/1/2/3/Multi-Player	PC	Adventure
