Constellation,ConstName,Zodiac,CatAmount
Andromeda,Princess of Ethiopia,0,3
Aquarius,Water Bearer,January-February,3
Aquila,Eagle,0,3
Aries,Ram,March-April,3
Auriga,Charioteer,0,2
Bootes,Herdsman,0,3
Cancer,Crab,June-July,4
Canis Major,Big dog,0,4
Canis Minor,Little dog,0,2
Capricornus,Sea goat,December-January,3
Carina,Keel of Argonauts' ship,0,3
Cassiopeia,Queen of Ethiopia,0,3
Centaurus,Centaur,0,3
Cetus,Sea monster,0,3
Crux,Cross,0,4
Cygnus,Swan,0,3
Dorado,Swordfish,0,4
Draco,Dragon,0,3
Eridanus,River,0,3
Gemini,Twins,May-June,3
Grus,Crane,0,2
Hercules,"Hercules, son of Zeus",0,1
Hydra,Sea serpent,0,2
Hydrus,Water snake,0,1
Indus,Indian,0,2
Leo,Lion,July-August,3
Libra,Balance,September-October,2
Lupus,Wolf,0,2
Lyra,Lyre,0,3
Ophiuchus,Holder of serpent,0,3
Orion,"Orion, the hunter",0,7
Pegasus,Winged horse,0,3
Perseus,The hero who saved Andromeda,0,2
Phoenix,Phoenix,0,1
Pisces,Fishes,February-March,2
Sagittarius,Archer,November-December,3
Scorpius,Scorpion,October-November,3
Taurus,Bull,April-May,10
Telescopium,Telescope,0,1
Triangulum,Triangle,0,3
Ursa Major,Big bear,0,3
Ursa Minor,Little bear,0,2
Vela,Sail of the Argonauts' ship,0,3
Virgo,Virgin,August-September,3
