Constellation,Name,Meaning,Designation,Spectral,Radius,Mass,Temperature,Distance,Age,Apparent,Absolute,Luminosity,Color,Class
Andromeda,Alpheratz,Head of the Woman in Chains,Alpha Andromedae,B8 IV,2.7,3.8,"13,800",92,60,2.06,-0.31,240,Blue,Subgiant
Andromeda,Mirach,Backside (of Andromeda),Beta Andromedae,M0 III,100,2.49,"3,842",197.3,378,2.05,-1.84,"1,995",Red,Giant
Andromeda,Almach,Caracal,Gamma Andromedae,K2 IIb,80,23.7,"4,250",392.8,6.5,2.27,-3.23,"2,000",Orange,Giant
Andromeda,,,Delta Andromedae,K3 III,13.6,1.3,"4,315",105.5,3200,3.28,0.72,68,Orange,Giant
Andromeda,Titawin,,Upsilon Andromedae,F8 V,1.48,1.27,"6,213",44,3120,4.1,3.44,3.57,Yellow-White,Main-sequence Dwarf
Andromeda,,,Iota Andromeda,B8 V,4.6,3.1,"12,620",500,116,4.29,1.63,638,Blue,Main-sequence Dwarf
Aquarius,Sadalmelik,Luck of the King,Alpha Aquarii,G2 Ib,52.89,5.13,"5,383",520,53,2.942,-3.88,"2,120",Yellow,Supergiant
Aquarius,Sadalsuud,Luck of Lucks,Beta Aquarii,G0 Ib,47.88,4.97,"5,608",550,110,2.87,-3.04,"2,046",Yellow,Supergiant
Aquarius,Sadachbia,Luck of the Homes,Gamma Aquarii,A0 V,1.8,2.49,"10,637",164,158,3.849,0.1,"1,980",White,Main-sequence Dwarf
Aquarius,Skat,Shin,Delta Aquarii,A3 V,2.4,3,"8,650",113,300,3.28,-0.17,48,White,Main-sequence Dwarf
Aquarius,Albali,The Swallower,Epsilon Aquarii,A1 V,2.5,2.98,"9,622",208,388,3.77,-0.46,138,White,Main-sequence Dwarf
Aquila,Altair,The Flying Eagle,Alpha Aquilae,A7 V,1.57,1.86,"6,860",16.73,100,0.76,2.22,10.6,White,Main-sequence Dwarf
Aquila,Alshain,The Falcon,Beta Aquilae,G9.5 V,3.064,1.26,"5,701",44.7,10.5,3.87,3.03,5.6,Yellow,Main-sequence Dwarf
Aquila,Tarazed,The Beam of the Scale,Gamma Aquilae,K3 II ,91.81,3.51,"4,098",395,270,2.712,-3.38,"2,146",Orange,Giant
Aquila,Okab,Eagle's Tail,Zeta Aquilae,A0 V,2.27,2.37,"9,620",83,100,2.983,0.96,39.4,White,Main-sequence Dwarf
Aries,Hamal,Head of the Ram,Alpha Arietis,K1 IIIb,14.9,1.5,"4,480",65.8,3400,2,0.47,91,Orange,Giant
Aries,Mesarthim,Servant,Gamma Arietis,A0 V,2.014,2.67,"10,356",164,34,3.86,-1.28,42,White,Main-sequence Dwarf
Aries,Sheratan,The Two Signs,Beta Arietis,A5 V,4.62,2.34,"9,000",59.6,300,2.655,1.55,23,White,Main-sequence Dwarf
Auriga,Capella,Little Goat,Alpha Aurigae,K0 III,11.98,2.56,"4,970",42.9,620,0.08,0.29,78.7,Orange,Giant
Auriga,Menkalinan,Shoulder of the charioteer,Beta Aurigae,A1 IV,2.77,2.38,"9,350",81.1,570,1.93,0.55,55,White,Subgiant
Bootes,Arcturus,The Herdsman,Alpha Boötis,K2 III,25.4,1.08,"4,286",36.7,7100,-0.05,-0.3,170,Orange,Giant
Bootes,Alkalurops,The herdsman's staff,Mu Boötis,F2 IV,1.9,1.6,"7,000",119.85,600,7.63,1.47,20,Yellow-White,Subgiant
Bootes,Izar,Loins,Epsilon Boötis,K0 III,33,4.6,"4,550",236,37.4,2.37,-1.61,501,Orange,Giant
Cancer,Asellus Australis,Southern Donkey Colt,Delta Cancri,K0 III,11,1.71,"4,637",131,2450,3.94,0.84,52,Orange,Giant
Cancer,,,Iota Cancri,G8 III,21,3.43,"4,954",330,263,6.57,-0.79,204,Yellow,Giant
Cancer,Copernicus,,55 Cancri,K0 IV,0.943,0.905,"5,172",40.95,8600,5.95,5.5,0.58,Orange,Subgiant
Cancer,Acubens,The Claws,Alpha Cancri,A7 V,3.43,2.1,"7,943",178,10,4.2,0.46,50.55,White,Main-sequence Dwarf
Canis Major,Sirius,Dog,Alpha Canis Majoris,A0 V,1.711,2.063,"9,940",8.7,252,-1.46,1.43,25.4,White,Main-sequence Dwarf
Canis Major,Mirzam,The Herald,Beta Canis Majoris,B1 II,9.7,13.5,"25,000",490,12.4,1.98,-4.1,"26,600",Blue,Giant
Canis Major,Adhara,Virgins,Epsilon Canis Majoris,B2 III,13.9,12.6,"22,900",430,22.5,1.5,-4.8,"38,700",Blue,Giant
Canis Major,,,VY Canis Majoris,M4 I,"2,069",17,"3,490","3,820",8.2,7.95,-9.4,"270,000",Red,Supergiant
Canis Minor,Procyon,Before the Dog,Alpha Canis Minoris,F5 IV,2.04,1.5,"6,530",11.46,1870,0.34,2.66,6.93,Yellow-White,Subgiant
Canis Minor,Gomeisa,The Bleary-Eyed Woman,Beta Canis Minoris,B8 V,3.5,3.5,"11,772",160,160,2.84,-0.59,195,Blue,Main-sequence Dwarf
Canis Minor,,,Gamma Canis Minoris,K3 III,36.8,1.88,"4,036",320,1300,4.33,-0.5,321,Orange,Giant
Canis Minor,,,Epsilon Canis Minoris,G7 II,45.51,4.63,"4,916",770,140,5,-2.62,"1,086",Yellow,Giant
Capricornus,Algiedi Prima,,Alpha Capricorni,G3 I,36.3,5.3,"5,119",870,700,4.27,-1.9,"1,047",Yellow,Supergiant
Capricornus,(Deneb) Algedi ,Tail,Delta Capricorni,A7 III,1.91,2,"7,301",38.7,6.5,2.81,2.48,8.5,White,Giant
Capricornus,Nashira,Bearer of Good News,Gamma Capricorni,F0 III,2.35,2.44,"7,520",157,79.4,3.67,2.6,42,Yellow-White,Giant
Carina,Canopus,Golden Earth,Alpha Carinae,A9 II,73.3,10.1,"7,400",310,25.1,-0.74,-5.71,"10,700",White,Giant
Carina,Miaplacidus,,Beta Carinae,A1 III,6.8,3.5,"8,866",113.2,260,1.69,-1.03,288,White,Giant
Carina,,,Eta Carinae,LBV,240,100,"37,200","7,500",3,4.3,-8.3,"4,600,000",Blue,Hypergiant
Cassiopeia,Schedar,Placid waters,Alpha Cassiopeiae,K0 III,45.39,3.98,4552,228,220,2.24,-2.01,794,Orange,Giant
Cassiopeia,,,Beta Cassiopeiae,F2 III,3.56,1.91,"7,079",54.7,1130,2.28,1.3,27.3,Yellow-White,Giant
Cassiopeia,Navi,,Gamma Cassiopeiae,B1 IV,10,13,"25,000",550,8,2.47,-3.98,"34,000",Blue,Subgiant
Centaurus,Rigil Kentaurus,Foot of the Centaur,Alpha Centauri,G2 V,1.2,1.07,"5,790",4.34,4850,1.33,4.38,1.5,Yellow,Main-sequence Dwarf
Centaurus,Hadar,To Be Present,Beta Centarui,B1 III,9,12.02,"26,000",390,14.1,0.61,-4.9,"66,100",Blue,Giant
Centaurus,,,Proxima Centauri,M6 V,0.15,0.12,"2,992",4.24,4850,10.77,15.6,0.00005,Red,Main-sequence Dwarf
Cetus,Mira,Wonderful,Omicron Ceti,M7 III,367,1.18,"3,055",300,6,6,0.99,"8,880",Red,Giant
Cetus,Menkar,Nose of Cetus,Alpha Ceti,M2 III,89,2.3,"3,795",249,70,2.53,-3.2,"1,455",Red,Giant
Cetus,,,Tau Ceti,G8 V,0.79,0.78,"5,320",11.9,9000,3.5,0.72,0.45,Yellow,Main-sequence Dwarf
