Date,Open,High,Low,Close,Volume
2023-09-20,123.45,128.56,92.34,124.67,7890
2023-09-21,125.67,130.78,91.23,126.89,6789
2023-09-22,127.89,132.90,90.12,129.01,5678
2023-09-23,130.01,135.12,89.01,131.23,4567
2023-09-24,132.23,137.34,87.90,133.45,3456
2023-09-25,134.45,139.56,86.79,135.67,2345
2023-09-26,136.67,141.78,85.68,137.89,1234
2023-09-27,138.89,143.90,84.57,140.01,0123
2023-09-28,141.01,146.12,83.46,142.23,9012
2023-09-29,143.23,148.34,82.35,144.45,8901
2023-09-30,145.45,150.56,81.24,146.67,7890
2023-10-01,147.67,152.78,80.13,148.89,6789
2023-10-02,149.89,154.90,79.02,151.01,5678
2023-10-03,152.01,157.12,77.91,153.23,4567
2023-10-04,154.23,159.34,76.80,155.45,3456
2023-10-05,156.45,161.56,75.69,157.67,2345
2023-10-06,158.67,163.78,74.58,159.89,1234
2023-10-07,160.89,165.90,73.47,162.01,0123
2023-10-08,163.01,168.12,72.36,164.23,9012
2023-10-09,165.23,170.34,71.25,166.45,8901
2023-10-10,167.45,172.56,70.14,168.67,7890
2023-10-11,169.67,174.78,69.03,170.89,6789
2023-10-12,171.89,176.90,67.92,173.01,5678
2023-10-13,174.01,179.12,66.81,175.23,4567
2023-10-14,176.23,181.34,65.70,177.45,3456
2023-10-15,178.45,183.56,64.59,179.67,2345
2023-10-16,180.67,185.78,63.48,181.89,1234
2023-10-17,182.89,187.90,62.37,184.01,0123
2023-10-18,185.01,190.12,61.26,186.23,9012
2023-10-19,187.23,192.34,60.15,188.45,8901
2023-10-20,189.45,194.56,59.04,190.67,7890
