steak, doneness
New York,Medium
Rib Eye,Rare
Rib Eye,Well Done
Flat Iron,Medium Rare
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye,Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
Porterhouse,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Porterhouse,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Filet Mignon,Medium Rare
Flat Iron,Medium Rare
Rib Eye,Medium Rare
Rib Eye,Rare
Rib Eye,Medium Rare
New York,Rare
Rib Eye,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium
Rib Eye,Well Done
New York,Rare
Rib Eye,Medium Rare
Porterhouse,Medium
Rib Eye,Medium
Flat Iron,Medium Rare
Rib Eye,Medium Well
New York,Medium Rare
New York,Medium Rare
Filet Mignon,Medium
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
New York,Medium Rare
Rib Eye,Medium Rare
Flat Iron,Medium Rare
Porterhouse,Well Done
Rib Eye,Medium
New York,Rare
New York,Medium
Top Sirloin,Medium
Filet Mignon,Medium
Rib Eye,Medium
Flat Iron,Medium
Porterhouse,Well Done
Rib Eye,Rare
New York,Well Done
Rib Eye,Medium Well
Flat Iron,Well Done
Top Sirloin,Rare
Top Sirloin,Well Done
Top Sirloin,Rare
Top Sirloin,Well Done
Top Sirloin,Rare
Top Sirloin,Well Done
Rib Eye,Medium Well
New York,Medium Rare
New York,Medium Rare
Filet Mignon,Medium
Flat Iron,Medium Rare
Rib Eye,Medium Well
New York,Medium Rare
New York,Medium Rare
Filet Mignon,Medium
Flat Iron,Medium Rare
Rib Eye,Well Done
Flat Iron,Medium Rare
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Well Done
Flat Iron,Medium Rare
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Well Done
Flat Iron,Medium Rare
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
New York,Rare
New York,Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
New York,Well Done
New York,Rare
New York,Rare
Rib Eye,Medium Rare
Filet Mignon,Medium
Rib Eye,Medium Rare
New York,Medium Rare
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye, Medium Rare
New York,Well Done
Top Sirloin,Medium Well
Filet Mignon,Well Done
Porterhouse,Medium Rare
Rib Eye,Medium Rare
New York,Well Done
Filet Mignon,Well Done
New York,Medium Rare
Porterhouse,Medium Rare
Porterhouse,Well Done
Rib Eye,Medium Rare
Rib Eye,Medium
Rib Eye,Medium
Rib Eye,Medium
Rib Eye,Medium Rare
Flat Iron,Medium Rare
Rib Eye,Medium Rare
Rib Eye,Medium Rare
Top Sirloin,Well Done
Top Sirloin,Well Done
Flat Iron,Medium Rare
Top Sirloin,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
Flat Iron,Medium Rare
New York,Medium Rare
Rib Eye,Medium Rare
Rib Eye,Medium Rare
Flat Iron,Medium Rare
New York,Medium Rare
Rib Eye,Medium
Rib Eye,Rare
