State/City, Country, price_range, weather, time, people
Prague,Czech Republic, $500-$1000, cold, one week, one
Brasov,Romania, $500-$1000, cold, one week, 2
Krakow,Poland, $500-$1000, cold, one week, 3
Vilnius,Lithuania, $500-$1000, cold, one week, 4 or more
Cancun,Mexico, $500-$1000, hot, one week, one
Bali,Indonesia, $500-$1000, hot, one week, 2
Marrakech,Morocco, $500-$1000, hot, one week, 3
Phuket,Thailand, $500-$1000, hot, one week, 4 or more
Edinburgh,Scotland, $500-$1000, rainy, one week, one
Vancouver,Canada, $500-$1000, rainy, one week, 2
Dublin,Ireland, $500-$1000, rainy, one week, 3
Reykjavik,Iceland, $500-$1000, rainy, one week, 4 or more
Stockholm,Sweden, $1000-$1500, cold, one week, one
Harbin,China, $1000-$1500, cold, one week, 2
Quebec City,Canada, $1000-$1500, cold, one week, 3
Tromso,Norway, $1000-$1500, cold, one week, 4 or more 
Dubai,United Arab Emirates, $1000-$1500, hot, one week, one
Athens,Greece, $1000-$1500, hot, one week, 2
Lisbon,Portugal, $1000-$1500, hot, one week, 3
California,United States, $1000-$1500, hot, one week, 4 or more
Jaco,Costa Rica, $1000-$1500, rainy, one week, one
Florida,United States, $1000-$1500, rainy, one week, 2
Muğla,Turkey, $1000-$1500, rainy, one week, 3
Vík í Mýrdal,Iceland, $1000-$1500, rainy, one week, 4 or more
Fulhadhoo,Maldives, $1500-$2000, cold, one week, one
Machu,Picchu, $1500-$2000, cold, one week, 2
Los Santos,Panama, $1500-$2000, cold, one week, 3
Suðurnes,Iceland, $1500-$2000, cold, one week, 4 or more
Hawaii,United States, $1500-$2000, hot, one week, one
Nevada,United States, $1500-$2000, hot, one week, 2
Acklins,Bahamas, $1500-$2000, hot, one week, 3
Bimini,Bahamas, $1500-$2000, hot, one week, 4 or more
Sichuan Province,China, $1500-$2000, rainy, one week, one
Hawaii,United States, $1500-$2000, rainy, one week, 2
Cameroon,Africa, $1500-$2000, rainy, one week, 3
Bioko Island,Equatorial Guinea, $1500-$2000, rainy, one week, 4 or more
Alaska,United States, more than $2000, cold, one week, one
Siberia,Russia, more than $2000, cold, one week, 2
Yukon,Canada, more than $2000, cold, one week, 3
Jammu,India, more than $2000, cold, one week, 4 or more
Central Abaco,Bahamas, more than $2000, hot, one week, one
Arizona,United States, more than $2000, hot, one week, 2
Tijuana,Mexico, more than $2000, hot, one week, 3
Cayo Distrct,Belize, more than $2000, hot, one week, 4 or more
Cropp River,New Zealand, more than $2000, rainy, one week, one
Tutendo,Colombia, more than $2000, rainy, one week, 2
Meghalaya State,India, more than $2000, rainy, one week, 3
Louisiana,United States, more than $2000, rainy, one week, 4 or more
Kashmir,India, $500-$1000, cold, one month, one
Nunavut,Canada, $500-$1000, cold, one month, 2
North Dakota,United States, $500-$1000, cold, one month, 3
Vermont,United States, $500-$1000, cold, one month, 4 or more
Whitsunday Islands,Australia, $500-$1000, hot, one month, one
Yucatan,Mexico, $500-$1000, hot, one month, 2
Dubai,United Arab Emirates, $500-$1000, hot, one month, 3
Rajasthan,India, $500-$1000, hot, one month, 4 or more
Mississippi,Uniteda States,$500-$1000, rainy, one month, one
Alabama,United States, $500-$1000, rainy, one month, 2
Copenhagen,Denmark, $500-$1000, rainy, one month, 3
Monrovia,Liberia, $500-$1000, rainy, one month, 4 or more
Wyoming,United States, $1000-$1500, cold, one month, one
New York,United States, $1000-$1500, cold, one month, 2
Brussels,Belgium, $1000-$1500, cold, one month, 3
